,,logLik,se,gamma,m,rho,epsilon,omega,c,beta_trend,sigma,tau,bs1,bs2,bs3,bs4,bs5,bs6,omegas1,omegas2,omegas3,omegas4,omegas5,omegas6
0.0,0,-3834.605712890625,,26.878589630126953,0.07542011141777039,0.0,10.08172607421875,0.14311112463474274,1.0,-0.0024640530347824095,4.05567741394043,0.23746028542518616,2.457232713699341,5.077463626861572,0.28945061564445496,3.6268975734710693,3.7433247566223145,4.090604305267334,-1.9051638841629028,-6.410224437713623,-1.9400440454483032,-5.672289848327637,-5.3474297523498535,-7.311058521270752
0.0,1,-3842.76220703125,,13.988166809082031,0.08138717710971832,0.0,26.175676345825195,0.0007627357845194638,1.0,-0.006798164844512939,2.713229179382324,0.3615044057369232,-0.20354051887989044,-0.030149219557642937,-1.4255062341690063,3.2953104972839355,3.303536891937256,4.150525093078613,-4.392503261566162,3.628755807876587,-9.332390785217285,-3.4516940116882324,-8.000321388244629,-2.5978221893310547
0.0,2,-3823.8125,,22.7264404296875,0.06537448614835739,0.0,8.757194519042969,0.011121781542897224,1.0,-0.0026024246215820314,3.793499708175659,0.271269291639328,2.2285983562469482,5.211153030395508,-0.6609583497047424,3.790273904800415,3.5279407501220703,4.1177592277526855,-7.851608753204346,-4.8608269691467285,-2.2829976081848145,-5.794883728027344,-5.118774890899658,-8.050934791564941
0.0,3,-3754.755615234375,,22.64754295349121,0.05428555980324745,0.0,21.17243003845215,0.0481310598552227,1.0,-0.00364191859960556,3.2218565940856934,0.2485385239124298,1.6753963232040405,5.546233177185059,-1.3013349771499634,3.729006767272949,3.6063995361328125,4.2928924560546875,-2.559507131576538,-1.4197518825531006,-3.2749695777893066,-4.3415846824646,-6.952788829803467,-5.246438503265381
0.0,4,-3854.61669921875,,14.773642539978027,0.0465947687625885,0.0,17.96792984008789,0.01316550187766552,1.0,-0.004339652955532074,2.6849076747894287,0.38185691833496094,0.676850438117981,-0.6048269271850586,0.8070206046104431,3.0926334857940674,3.4240951538085938,4.203492641448975,-3.8221404552459717,5.012528419494629,-11.350696563720703,-4.8029046058654785,-4.720700263977051,-7.886849880218506
0.0,5,-3764.52978515625,,23.685117721557617,0.06332635879516602,0.0,11.742509841918945,0.006012968253344297,1.0,-0.004548964202404022,3.385931968688965,0.28864234685897827,1.7987804412841797,5.3770670890808105,-0.4515560567378998,3.833571195602417,3.5701022148132324,4.410783767700195,-1.924351453781128,-1.696860671043396,-3.3417718410491943,-4.03670597076416,-7.580537796020508,-4.735238552093506
0.0,6,-3792.65185546875,,18.20793342590332,0.0616394579410553,0.0,7.224169731140137,6.174207373987883e-05,1.0,-0.0020240986347198485,3.0591673851013184,0.30513498187065125,1.4691095352172852,5.876760959625244,-3.4677319526672363,3.7000842094421387,3.471048355102539,4.090321063995361,-8.258408546447754,-4.010381698608398,-3.4052748680114746,-4.218321323394775,-9.103700637817383,-5.2743306159973145
0.0,7,-3805.436279296875,,22.3361759185791,0.07297290861606598,0.0,8.41855239868164,0.19790971279144287,1.0,-0.002495768666267395,3.7635459899902344,0.2595060169696808,2.0733156204223633,5.11302375793457,-0.6289795637130737,3.7656173706054688,3.5942108631134033,4.114681243896484,-3.9059455394744873,-2.0581307411193848,-3.450650453567505,-4.302785396575928,-11.41332721710205,-6.306406497955322
0.0,8,-3781.65478515625,,16.389760971069336,0.051957905292510986,0.0,10.221266746520996,1.2312889099121094,1.0,-0.004175995588302612,2.763530731201172,0.3014775216579437,0.652561604976654,6.083836555480957,-3.2702062129974365,3.5954229831695557,3.3618199825286865,4.2816925048828125,-0.9098987579345703,-2.21859073638916,-7.918235778808594,-2.4466540813446045,-7.667308807373047,-6.926107883453369
0.0,9,-3787.66552734375,,16.52003288269043,0.056636203080415726,0.0,6.849583148956299,0.015885019674897194,1.0,-0.0025783488154411316,2.772587776184082,0.32704368233680725,0.5202864408493042,7.175472259521484,-7.465021133422852,3.958263397216797,3.154477596282959,4.446920871734619,-0.6466715335845947,-7.490058898925781,-4.036757946014404,-3.7400896549224854,-5.6476826667785645,-7.859890937805176
0.0,10,-3794.006103515625,,17.3912353515625,0.06231377273797989,0.0,8.340489387512207,0.0011071423068642616,1.0,-0.0030557158589363097,2.982558012008667,0.28938108682632446,1.5598372220993042,6.111198902130127,-3.2753753662109375,3.721801996231079,3.6688990592956543,3.968679189682007,-1.854183554649353,-10.882497787475586,-5.898844242095947,-1.470668911933899,-13.553056716918945,-2.007023811340332
