,logLik,se,gamma,m,rho,epsilon,omega,c,beta_trend,sigma,tau,bs1,bs2,bs3,bs4,bs5,bs6,omegas1,omegas2,omegas3,omegas4,omegas5,omegas6
0,-3800.309326171875,,20.84103012084961,0.06354228407144547,0.0,5.787131309509277,4.823803901672363,1.0,-0.004531778693199158,3.1755330562591553,0.23812253773212433,1.917558193206787,5.786437034606934,-1.6190015077590942,3.7906928062438965,3.55963397026062,4.20797872543335,-2.9521901607513428,-12.201682090759277,-1.534111738204956,-5.73781681060791,-6.560425758361816,-6.475785732269287
1,-3851.869873046875,,11.84604549407959,0.05377215892076492,0.0,24.25295066833496,0.0007508465787395835,1.0,-0.003560997247695923,3.156540870666504,0.287060409784317,-2.0646350383758545,-1.396649956703186,-1.4014970064163208,3.736952304840088,3.032013416290283,4.419560432434082,-4.181536674499512,3.6639058589935303,-9.09862995147705,-5.9923529624938965,-9.140829086303711,-2.506126880645752
2,-3820.642333984375,,25.139692306518555,0.06654256582260132,0.0,8.682011604309082,0.00084827741375193,1.0,-0.00030543310567736625,2.9325673580169678,0.2490655779838562,2.1980550289154053,5.344605922698975,-0.21772338449954987,3.6817986965179443,3.7049968242645264,4.156178951263428,-7.510873317718506,-7.666199684143066,-2.331803560256958,-5.139073371887207,-9.149223327636719,-12.322525978088379
3,-3759.7255859375,,18.622591018676758,0.05681464448571205,0.0,20.6547794342041,0.0029211225919425488,1.0,-0.004979158639907837,3.101935386657715,0.22539430856704712,0.6584723591804504,6.4561333656311035,-4.091485977172852,3.952371835708618,3.2194108963012695,4.461146831512451,-0.5759163498878479,-4.982636451721191,-1.9140427112579346,-5.7461934089660645,-5.32810115814209,-6.2406439781188965
4,-3814.19873046875,,16.920541763305664,0.05844943970441818,0.0,5.943777084350586,0.0002253579586977139,1.0,-0.00514126718044281,3.1657629013061523,0.22919443249702454,1.1499252319335938,5.580345153808594,-1.7995167970657349,4.022765636444092,3.2554593086242676,4.2653985023498535,-3.5035648345947266,0.8835896253585815,-13.006141662597656,-14.382991790771484,-8.558319091796875,-5.966805934906006
5,-3754.8916015625,,19.783113479614258,0.04366786405444145,0.0,40.08744430541992,0.06263799965381622,1.0,-0.004513767063617707,3.0654988288879395,0.2583427131175995,0.8408396244049072,6.145133972167969,-3.418987512588501,4.144499778747559,3.313400983810425,4.330288410186768,-2.0062777996063232,-1.3972828388214111,-3.4001834392547607,-3.8027865886688232,-8.525819778442383,-2.940723180770874
6,-3797.539794921875,,21.371543884277344,0.05324168875813484,0.0,9.806477546691895,0.0018703511450439692,1.0,-0.0038035640120506285,3.19105863571167,0.24339616298675537,1.7989085912704468,5.9255146980285645,-2.336617946624756,3.4341847896575928,3.7560553550720215,4.142230033874512,-7.182968616485596,-2.6079089641571045,-2.817460536956787,-4.77561616897583,-5.119775772094727,-9.776379585266113
7,-3794.42333984375,,22.6479434967041,0.0663938820362091,0.0,7.077178955078125,6.0052516346331686e-05,1.0,-0.005751287341117859,3.0546674728393555,0.2528725266456604,2.2383193969726562,5.633358478546143,-1.4794158935546875,3.737475633621216,3.7246060371398926,4.158316135406494,-6.097647666931152,-6.370480537414551,-2.1719186305999756,-5.211313247680664,-7.644801139831543,-6.3132405281066895
8,-3760.65283203125,,20.215606689453125,0.07873973250389099,0.0,7.647350311279297,0.0062558348290622234,1.0,-0.0030451521277427675,3.0545170307159424,0.23979859054088593,1.1823861598968506,5.816902160644531,-2.2201573848724365,3.893751859664917,3.4711666107177734,4.189937591552734,-2.8407158851623535,-1.7857253551483154,-5.463998317718506,-3.253793239593506,-11.741229057312012,-4.033491134643555
9,-3776.52978515625,,19.85629653930664,0.062489572912454605,0.0,9.150247573852539,0.004788416437804699,1.0,-0.002655368447303772,3.0648579597473145,0.21639761328697205,1.5970335006713867,5.94304895401001,-2.77258038520813,3.9018990993499756,3.4411327838897705,4.183150768280029,-4.297975063323975,-6.592266082763672,-3.8340413570404053,-3.4852912425994873,-10.913671493530273,-4.614805698394775
