,logLik,se,gamma,m,rho,epsilon,omega,c,beta_trend,sigma,tau,bs1,bs2,bs3,bs4,bs5,bs6,omegas1,omegas2,omegas3,omegas4,omegas5,omegas6
13,-3834.25048828125,,12.621330261230469,0.025291766971349716,0.0,23.497455596923828,6.0556016251211986e-05,1.0,-0.008032698035240173,3.1421568393707275,0.26011860370635986,-1.6584415435791016,8.49694538116455,-10.508630752563477,5.039093494415283,2.399167060852051,5.054039001464844,-1.2296549081802368,-3.261174201965332,-0.8243752717971802,-11.06955337524414,-13.148510932922363,-2.990009307861328
14,-4014.174072265625,,17.66107177734375,0.03792806342244148,0.0,4.603413105010986,1.6330941434716806e-06,1.0,-0.0063087987899780274,3.221862316131592,0.23460040986537933,1.3806266784667969,6.516166687011719,-4.444779396057129,4.0666913986206055,3.2673213481903076,4.484330177307129,-12.734049797058105,0.17992720007896423,-5.836624622344971,-1.9264657497406006,-11.302855491638184,-4.26896333694458
15,-3899.591064453125,,19.985492706298828,0.03130771964788437,0.0,13.55971622467041,9.802022304938873e-08,1.0,-0.005781106948852539,3.5269057750701904,0.2649969756603241,0.6072865128517151,5.804533958435059,-1.576507806777954,3.884490489959717,3.2659754753112793,4.628792762756348,-0.8773604035377502,-0.5702230334281921,-6.196220874786377,-1.1811671257019043,-11.476210594177246,-5.2008538246154785
16,-4114.33154296875,,20.3333740234375,0.03566119819879532,0.0,8.06435775756836,0.01050515566021204,1.0,-0.0006158652156591415,3.4097280502319336,0.18955068290233612,1.399765968322754,6.197035789489746,-3.514606237411499,4.169830322265625,3.0434696674346924,4.495804309844971,-4.880497932434082,-4.628742218017578,-1.4967857599258423,-6.021475791931152,-4.310004711151123,-11.374276161193848
17,-3855.432373046875,,17.186338424682617,0.03870432823896408,0.0,16.750957489013672,0.019303888082504272,1.0,9.089749306440354e-05,3.2749156951904297,0.22547464072704315,0.4662441313266754,6.515776634216309,-5.489361763000488,4.287025451660156,2.9165635108947754,4.277237415313721,-2.714968204498291,-0.6968848705291748,-5.402397632598877,-2.304133415222168,-12.765931129455566,-6.967658996582031
18,-3839.98974609375,,16.790084838867188,0.06000529229640961,0.0,4.273537635803223,0.0011864674743264914,1.0,-0.009523530006408692,3.3889927864074707,0.18975812196731567,0.2789771258831024,7.15084981918335,-6.712368488311768,4.04017972946167,3.339961528778076,4.156930923461914,-3.252532720565796,-2.335829734802246,-4.332277297973633,-3.383565902709961,-10.275636672973633,-1.7459197044372559
19,-3892.45947265625,,19.28877830505371,0.0541452020406723,0.0,4.8241729736328125,0.01267393957823515,1.0,-0.006776366829872132,3.3328375816345215,0.19873856008052826,2.119896650314331,5.856088638305664,-2.354796886444092,3.699094533920288,3.6663992404937744,3.8968429565429688,-7.910988807678223,-10.792876243591309,-4.569880485534668,-2.355473279953003,-14.990262031555176,-0.48857399821281433
20,-3821.61083984375,,21.489940643310547,0.04299677163362503,0.0,12.486466407775879,0.0001560693490318954,1.0,-0.005407674908638,3.2882332801818848,0.24627865850925446,1.1495200395584106,6.090189456939697,-2.212224245071411,3.98039174079895,3.461399555206299,4.313966274261475,-1.6203689575195312,-3.725935935974121,-4.171182632446289,-2.384145736694336,-12.386802673339844,-3.0691213607788086
21,-4077.939697265625,,19.95859718322754,0.030815867707133293,0.0,10.542728424072266,0.0008128759800456464,1.0,-0.001143624261021614,3.6266517639160156,0.3626857399940491,1.7143417596817017,-3.429408550262451,-0.7330504655838013,2.9207992553710938,3.7365312576293945,3.978618621826172,-2.2984838485717773,3.593857765197754,-5.362264156341553,-1.7620538473129272,-10.890378952026367,-8.37161636352539
22,-3936.439453125,,16.830707550048828,0.032972175627946854,0.0,7.879219055175781,0.00039408516022376716,1.0,-0.0033589377999305725,2.9902594089508057,0.26710817217826843,0.6880192756652832,6.676109313964844,-5.236350059509277,3.885850667953491,3.1213862895965576,4.401453971862793,-15.866377830505371,-8.13719367980957,-3.552837371826172,-3.2354722023010254,-7.45928430557251,-3.6847281455993652
23,-3914.7353515625,,16.289592742919922,0.027431856840848923,0.0,23.551498413085938,0.0008162038284353912,1.0,-0.022160484790802,4.062900066375732,0.22713589668273926,0.18325354158878326,6.590578079223633,-4.54988956451416,4.3051018714904785,3.223872184753418,5.081764221191406,-1.302260160446167,0.49687522649765015,-3.9970779418945312,-2.528451919555664,-5.757705211639404,-5.461623191833496
24,-3903.081298828125,,23.96257209777832,0.051479071378707886,0.0,6.948402404785156,0.0003055170818697661,1.0,-0.004678846001625061,3.3392813205718994,0.25087490677833557,1.8800355195999146,5.542062282562256,-0.44280311465263367,4.000671863555908,3.4249393939971924,4.397010803222656,-0.5739679336547852,-6.558083534240723,-2.0649585723876953,-5.106287956237793,-6.885070323944092,-10.247912406921387
25,-4008.191650390625,,19.554779052734375,0.05067133530974388,0.0,4.363327503204346,0.27991652488708496,1.0,-0.008286381363868714,3.8943984508514404,0.16243691742420197,0.7397821545600891,6.584300518035889,-4.164608478546143,4.095820426940918,3.3914058208465576,4.619723796844482,-1.475291132926941,-2.2460274696350098,-4.968380451202393,-2.0445101261138916,-11.081263542175293,-4.78565788269043
26,-3973.16162109375,,17.139310836791992,0.034438543021678925,0.0,9.082132339477539,0.006162404082715511,1.0,-0.013942676782608032,3.4743895530700684,0.16765370965003967,1.4105322360992432,5.918148040771484,-2.8449859619140625,3.440749406814575,3.7988569736480713,4.281799793243408,-2.3396172523498535,-0.23573847115039825,-4.413393020629883,-2.9015815258026123,-10.40388298034668,-5.687446117401123
27,-3926.54736328125,,16.805389404296875,0.030588677152991295,0.0,9.00002384185791,64.56168365478516,1.0,-0.00487231433391571,3.226710081100464,0.24935787916183472,1.145547866821289,6.448903560638428,-4.840562343597412,4.121653079986572,3.1745874881744385,4.315888404846191,-7.001110076904297,-3.1364874839782715,-4.02215051651001,-2.5753164291381836,-11.006684303283691,-12.156142234802246
28,-3881.859130859375,,17.342451095581055,0.042273737490177155,0.0,8.498547554016113,0.05977199226617813,1.0,-0.0023141415417194367,3.546069383621216,0.19937922060489655,1.401134967803955,6.099734783172607,-3.0467803478240967,3.003981590270996,3.6698639392852783,3.842547655105591,-4.198233604431152,-7.535802364349365,-2.6433539390563965,-3.4861631393432617,-11.318242073059082,-1.8360477685928345
