,logLik,se,gamma,m,rho,epsilon,omega,c,beta_trend,sigma,tau,bs1,bs2,bs3,bs4,bs5,bs6,omegas1,omegas2,omegas3,omegas4,omegas5,omegas6
0,-3902.653076171875,,27.11018180847168,0.05553372949361801,0.0,16.84195899963379,0.00047353605623357,1.0,0.00029545243829488756,3.316007137298584,0.19141951203346252,2.1835570335388184,5.321722030639648,-0.7029500603675842,3.609764337539673,3.644261598587036,4.076638221740723,-1.1718999147415161,-4.3268842697143555,-3.224900722503662,-3.3535964488983154,-9.565263748168945,-9.123213768005371
1,-4015.009521484375,,12.320691108703613,0.033300843089818954,0.0,5.164314270019531,0.008366188034415245,1.0,-0.011682686805725097,4.413528919219971,0.25386038422584534,-2.983713150024414,-5.918696880340576,-3.0902721881866455,4.262864112854004,3.1563498973846436,4.672796726226807,-4.21151065826416,3.858383893966675,-7.96553897857666,-3.3231773376464844,-9.584297180175781,0.2517264783382416
2,-4039.021728515625,,20.278453826904297,0.036212705075740814,0.0,6.987916469573975,0.010272457264363766,1.0,-0.0063494622707366945,3.7614433765411377,0.19172930717468262,1.3897100687026978,6.061670303344727,-2.357856512069702,3.739210367202759,3.3751866817474365,4.472862243652344,-0.06234576925635338,-2.5152573585510254,-3.339853525161743,-4.212629318237305,-3.9743947982788086,-11.621676445007324
3,-4111.48681640625,,22.054624557495117,0.04785395413637161,0.0,5.830247402191162,0.13156913220882416,1.0,-0.0032419636845588684,3.504075765609741,0.1847219616174698,1.6529042720794678,5.963850021362305,-3.5659866333007812,3.912430763244629,3.549675703048706,4.158761501312256,-1.3363999128341675,-3.091590166091919,-3.3904147148132324,-4.267644882202148,-7.5688347816467285,-5.780856132507324
4,-3896.974609375,,13.741893768310547,0.03264639154076576,0.0,7.241352558135986,0.00022424272901844233,1.0,-0.013402727842330932,3.7023143768310547,0.23979100584983826,-0.24607162177562714,6.380526065826416,-3.8498775959014893,4.419658660888672,3.03369140625,4.918770790100098,-2.9950101375579834,1.8353241682052612,-12.8877592086792,-1.7667663097381592,-8.334452629089355,-4.44078254699707
5,-3849.610107421875,,20.18383026123047,0.047982100397348404,0.0,9.81699275970459,0.42248299717903137,1.0,-0.004630993902683258,3.384007215499878,0.2405780553817749,1.0776606798171997,6.1070098876953125,-2.8976969718933105,3.257140874862671,3.7322256565093994,3.927072525024414,-1.6794121265411377,-2.2073166370391846,-4.7908406257629395,-3.0773515701293945,-9.270963668823242,-3.669480800628662
6,-4212.58056640625,,21.893421173095703,0.041201043874025345,0.0,4.258795738220215,0.0027605367358773947,1.0,-0.00082036092877388,3.538048505783081,0.26029613614082336,1.9878787994384766,5.992532253265381,-2.5273120403289795,3.8334405422210693,3.461869478225708,4.231560707092285,-10.988234519958496,-10.35236644744873,-1.7412070035934448,-3.8408021926879883,-8.5191650390625,-8.552606582641602
7,-3977.46923828125,,27.77275276184082,0.06999961286783218,0.0,4.565927982330322,0.000329740927554667,1.0,-0.010692380666732788,2.938971757888794,0.2549441456794739,3.1422855854034424,4.906671047210693,1.3836874961853027,3.7630679607391357,4.019424915313721,4.147982597351074,-9.684920310974121,-6.801968574523926,-3.382655382156372,-4.2959442138671875,-9.213717460632324,-11.685612678527832
8,-3949.912841796875,,19.995220184326172,0.033291105180978775,0.0,8.768938064575195,0.024115197360515594,1.0,-0.004190082848072052,3.205070972442627,0.28095000982284546,1.652079701423645,5.972914695739746,-2.4450650215148926,3.317380666732788,3.574855327606201,4.286217212677002,-6.851487159729004,-4.923453330993652,-3.2082607746124268,-3.147589683532715,-7.881038665771484,-9.865891456604004
9,-3918.0234375,,18.47880744934082,0.046660635620355606,0.0,4.495849609375,0.005928166210651398,1.0,-0.005419852137565613,3.2300186157226562,0.25303739309310913,1.8947904109954834,6.0613532066345215,-3.2386505603790283,3.3017921447753906,3.5583345890045166,3.9265615940093994,-8.612716674804688,-10.820168495178223,-3.249166250228882,-3.854038953781128,-5.843542098999023,-5.922307014465332
