"","time","seas1","seas2","seas3","seas4","seas5","seas6"
"1",0,0.419444444444444,0.419444444444444,0.0791666666666667,0.00138888888888889,0.00138888888888889,0.0791666666666667
"2",1,0.378671690056915,0.454714208516298,0.105654074126789,0.00266985597998117,0.000666974121552195,0.0576231971984649
"3",2,0.334467983997624,0.482583332192493,0.137185623113234,0.00481154643066772,0.000289344661316381,0.0406621696046649
"4",3,0.2889020384732,0.50150046370255,0.173520740951981,0.00821422579079788,0.000111802811362335,0.0277507282701087
"5",4,0.243889808747349,0.510392564324166,0.214029498446208,0.0133760084713945,4.75332339784326e-05,0.0182645867769036
"6",5,0.201079781289173,0.508750593956644,0.257678793367834,0.0208782052793879,5.85343932179425e-05,0.011554091713744
"7",6,0.161773093455394,0.496668754649092,0.303053365482984,0.0313567383387846,0.000151694202078156,0.0069963538716675
"8",7,0.126878484706496,0.474837292083424,0.348411643111362,0.0454596233982709,0.000379509874201259,0.00403344682624657
"9",8,0.0969020793567717,0.444488855012131,0.391776421219536,0.0637905195252509,0.000845451980096932,0.00219667290621434
"10",9,0.0719720007981848,0.407298412751015,0.431060370947959,0.0868383462464289,0.00171397268498809,0.00111689657142415
"11",10,0.0518974753274473,0.365237300511197,0.464225810787419,0.114893310005514,0.00322502793186842,0.000521075436553739
"12",11,0.0362545297695044,0.320394552248414,0.489465579726884,0.147957235744872,0.00571010564336372,0.000217996866962191
"13",12,0.0244740600168751,0.274805892497194,0.505364640905172,0.185672426491662,0.00960053217837892,8.24479107176271e-05
"14",13,0.0159175010332542,0.230315002942574,0.511017800013774,0.227283820400071,0.0154224305857808,4.34450245458616e-05
"15",14,0.00993857155262866,0.188469608343925,0.506100993836263,0.271635972018367,0.0237777490289268,7.71052198895286e-05
"16",15,0.00593108616482907,0.150452393992686,0.49089613674249,0.317204865089878,0.0353113565966283,0.000204161413488957
"17",16,0.0033628347875155,0.117046754704023,0.466269525137549,0.362164556887879,0.0506642065005491,0.000492121982484778
