,,logLik,se,gamma,m,rho,epsilon,omega,c,beta_trend,sigma,tau,bs1,bs2,bs3,bs4,bs5,bs6,omegas1,omegas2,omegas3,omegas4,omegas5,omegas6
0.0,12,-3813.297607421875,,17.929149627685547,0.06548301130533218,0.0,6.320418834686279,0.0035689317155629396,1.0,-0.0026621413230895996,2.8861947059631348,0.3229213356971741,2.057760000228882,5.5036845207214355,-1.5845264196395874,3.476026773452759,3.6988718509674072,4.013737201690674,-11.947501182556152,-9.850817680358887,-3.553666353225708,-3.8216025829315186,-7.2224531173706055,-9.56523323059082
0.0,13,-24867.998046875,,,,0.0,,0.00137839384842664,1.0,,,,,,,,,,,,,,,
0.0,14,-3792.4384765625,,18.561786651611328,0.059634607285261154,0.0,6.639511585235596,0.02998889982700348,1.0,-0.0031845501065254213,2.672621488571167,0.3382594585418701,1.1630281209945679,6.8195600509643555,-6.581525802612305,4.180915355682373,3.2806365489959717,4.360354423522949,-9.030385971069336,-6.175972938537598,-2.6526548862457275,-3.9385719299316406,-8.821443557739258,-4.735197067260742
0.0,15,-3776.939208984375,,20.38703727722168,0.060212645679712296,0.0,8.187418937683105,0.006093427538871765,1.0,-0.003694860935211182,3.270508289337158,0.3068488538265228,1.4995557069778442,6.1325883865356445,-3.243070125579834,3.9230544567108154,3.4136862754821777,4.354727268218994,-3.1796770095825195,-2.579364538192749,-3.195016860961914,-3.644066095352173,-7.164939880371094,-3.618706226348877
0.0,16,-3777.525146484375,,19.62421989440918,0.05882180482149124,0.0,9.671087265014648,0.005481397733092308,1.0,-0.0027343079447746275,3.050194501876831,0.29112622141838074,1.6356631517410278,6.1324849128723145,-4.05587911605835,3.6292550563812256,3.567844867706299,4.201939105987549,-6.421411037445068,-1.0954806804656982,-3.7816178798675537,-3.624741792678833,-6.839488983154297,-4.946286201477051
0.0,17,-24867.998046875,,,,0.0,,0.02688533067703247,1.0,,,,,,,,,,,,,,,
0.0,18,-3823.025634765625,,16.597869873046875,0.048324454575777054,0.0,9.563316345214844,42.386390686035156,1.0,-0.0035364001989364622,2.57953143119812,0.34340235590934753,0.6686779260635376,5.8604583740234375,-2.3021116256713867,4.224860668182373,3.0376882553100586,4.4892425537109375,1.3150012493133545,-2.515699863433838,-10.511931419372559,-6.18443489074707,-3.056800365447998,-16.3157958984375
0.0,19,-3774.2294921875,,18.622661590576172,0.0666099265217781,0.0,6.3027663230896,0.00174912775401026,1.0,-0.004053671061992645,2.841665267944336,0.30586084723472595,1.0493621826171875,6.345297336578369,-3.7529141902923584,3.8464064598083496,3.3618226051330566,4.304563045501709,-0.8592613339424133,-10.164896965026855,-3.2023303508758545,-3.447995901107788,-9.812005043029785,-4.145257472991943
0.0,20,-3772.24169921875,,25.089059829711914,0.05328838527202606,0.0,19.338993072509766,0.008223469369113445,1.0,-0.0038667866587638856,3.527989625930786,0.2660798728466034,1.8742828369140625,5.540041923522949,-1.1493784189224243,3.9055848121643066,3.6622567176818848,4.326095104217529,-2.5703725814819336,-1.552922248840332,-2.5684309005737305,-3.7981128692626953,-11.980238914489746,-4.0548906326293945
0.0,21,-3937.974609375,,0.1578025221824646,0.26569536328315735,0.0,10.146305084228516,0.08207815140485764,1.0,-0.003497500717639923,4.534781455993652,0.15307745337486267,-3.202930450439453,0.27282458543777466,-2.653331995010376,1.1573129892349243,2.9762179851531982,3.729949951171875,-3.7525391578674316,-2.14534592628479,-6.093992233276367,-6.753599166870117,-6.188863754272461,-6.22440242767334
0.0,22,-3803.52587890625,,20.140851974487305,0.05450403690338135,0.0,9.916610717773438,2.556095023464877e-05,1.0,-0.0026634928584098817,3.3186233043670654,0.28541621565818787,1.7767856121063232,5.628709316253662,-2.3995537757873535,3.7275328636169434,3.525794744491577,4.097014427185059,-12.498771667480469,-2.5274524688720703,-3.7441253662109375,-3.3945109844207764,-11.057234764099121,-1.87605619430542
0.0,23,-3834.63525390625,,23.815298080444336,0.06565148383378983,0.0,8.137603759765625,0.07792072743177414,1.0,-0.002075905650854111,3.492337465286255,0.2947971820831299,2.466540575027466,5.002480983734131,-0.2529798746109009,3.56655216217041,3.753889560699463,3.957486152648926,-5.796902179718018,-7.556331634521484,-1.4021968841552734,-5.959693908691406,-6.097328186035156,-8.410140037536621
0.0,24,-3770.152587890625,,20.852460861206055,0.04456983879208565,0.0,19.751201629638672,0.013176316395401955,1.0,-0.004037810564041138,3.271831512451172,0.28674957156181335,0.8893243074417114,6.316352367401123,-3.456777572631836,4.537897109985352,3.0897610187530518,4.840985298156738,-1.72105073928833,-1.4126101732254028,-2.198298931121826,-4.352994918823242,-8.314518928527832,-6.7437052726745605
0.0,25,-3769.602294921875,,18.479415893554688,0.0671587586402893,0.0,7.899190902709961,0.004358711186796427,1.0,-0.004562189877033234,3.046238422393799,0.29936355352401733,0.8960434198379517,6.103147029876709,-3.841928005218506,3.537278413772583,3.6234641075134277,4.1650238037109375,-1.555267572402954,-1.8006080389022827,-3.714043617248535,-3.833950996398926,-9.221060752868652,-4.312007427215576
0.0,26,-3757.87255859375,,18.704771041870117,0.04064116254448891,0.0,32.726959228515625,6.97263385518454e-05,1.0,-0.004120953977108001,2.987860918045044,0.24057796597480774,0.7832869291305542,6.26715612411499,-3.9556329250335693,3.989931583404541,3.323524236679077,4.519480228424072,-1.053515911102295,-1.3191758394241333,-4.021891117095947,-3.039466619491577,-8.993148803710938,-10.72380542755127
0.0,27,-3797.009765625,,18.34626007080078,0.05138063430786133,0.0,8.124542236328125,1.3082129955291748,1.0,-0.00219015434384346,2.837390899658203,0.33747461438179016,1.2776297330856323,6.172537326812744,-3.766505241394043,3.617788076400757,3.413616895675659,4.250301837921143,-7.504150867462158,-8.894700050354004,-5.092854022979736,-2.0909295082092285,-10.27236557006836,-4.991800785064697
0.0,28,-3766.77294921875,,19.47769546508789,0.06320076435804367,0.0,8.448630332946777,0.005506596993654966,1.0,-0.0034324640035629274,2.8623571395874023,0.28716805577278137,0.7409810423851013,6.848050117492676,-5.338738441467285,4.494797229766846,3.0776097774505615,4.640537261962891,0.9492054581642151,-8.973913192749023,-1.6412559747695923,-5.3225812911987305,-6.646836280822754,-9.881452560424805
0.0,29,-3820.5361328125,,14.253859519958496,0.0460498072206974,0.0,9.0818452835083,0.06800433993339539,1.0,-0.005855227708816528,2.7099976539611816,0.33290019631385803,-0.21146972477436066,5.855205059051514,-3.128763437271118,4.198564529418945,3.0002152919769287,4.464944839477539,-2.251204252243042,0.6031092405319214,-6.035358428955078,-12.25782585144043,-7.417244911193848,-3.21575927734375
0.0,30,-3806.434814453125,,15.338591575622559,0.05567437410354614,0.0,6.056827068328857,0.0015082284808158875,1.0,-0.001513419598340988,2.5795464515686035,0.32226479053497314,0.303768128156662,7.270590782165527,-8.114986419677734,4.0283355712890625,3.0419204235076904,4.438812732696533,-2.9427058696746826,-10.185707092285156,-7.714431285858154,-2.5797595977783203,-6.878713130950928,-9.967838287353516
0.0,31,-3756.570068359375,,22.298254013061523,0.05259176716208458,0.0,18.231708526611328,0.015874002128839493,1.0,-0.004335436522960662,3.2485053539276123,0.27280715107917786,1.6110869646072388,5.8068766593933105,-1.6711448431015015,3.719395399093628,3.621248483657837,4.334528923034668,-1.2431093454360962,-3.5156548023223877,-2.58134388923645,-4.273362159729004,-6.347609519958496,-5.66843318939209
0.0,32,-3761.22216796875,,23.556480407714844,0.05756399780511856,0.0,16.514921188354492,0.07102113962173462,1.0,-0.0037224587798118593,3.334766149520874,0.24162806570529938,1.8594242334365845,5.499677658081055,-0.6517998576164246,3.436781644821167,3.7450101375579834,4.25560998916626,-1.8809092044830322,-2.8634488582611084,-3.821521043777466,-3.4173333644866943,-7.16131591796875,-5.609257221221924
0.0,33,-24867.998046875,,,,0.0,,0.042105406522750854,1.0,,,,,,,,,,,,,,,
0.0,34,-3910.3193359375,,0.0028187173884361982,0.10299460589885712,0.0,0.9036787152290344,0.0010500227799639106,1.0,-0.00806336522102356,4.447980880737305,0.061898816376924515,-2.494316816329956,3.11442232131958,-2.7675974369049072,1.7940706014633179,3.050358533859253,3.4074153900146484,-3.854837417602539,0.7104207873344421,-9.691970825195312,-4.421895503997803,-5.941876411437988,-7.436084270477295
0.0,35,-3806.894287109375,,19.3508358001709,0.06250153481960297,0.0,6.915576457977295,0.005484613589942455,1.0,-0.0025163054466247558,3.141639232635498,0.29132068157196045,1.3836745023727417,6.024377822875977,-3.6652135848999023,3.883408546447754,3.4138872623443604,4.148022651672363,-2.912538766860962,-9.859940528869629,-2.2875850200653076,-4.531610488891602,-10.141765594482422,-7.365889072418213
0.0,36,-3792.767578125,,22.809486389160156,0.052874598652124405,0.0,12.872893333435059,0.001310169231146574,1.0,-0.0029889589548110964,3.3538084030151367,0.3038807213306427,1.8844724893569946,5.6090006828308105,-1.6212389469146729,3.6887967586517334,3.6411595344543457,4.210686683654785,-2.4009816646575928,-4.416872978210449,-2.272226095199585,-4.018156051635742,-9.785504341125488,-7.303952217102051
0.0,37,-3756.2890625,,20.407442092895508,0.06268441677093506,0.0,10.966257095336914,0.001415050239302218,1.0,-0.0032053205370903017,2.948904037475586,0.26945120096206665,1.2893669605255127,5.977569580078125,-3.0131518840789795,3.992638349533081,3.433072090148926,4.418600559234619,-1.226799488067627,-2.1894917488098145,-3.3386359214782715,-4.114424705505371,-9.023367881774902,-11.268523216247559
0.0,38,-3770.2802734375,,21.608989715576172,0.06305553764104843,0.0,11.344695091247559,0.0073721446096897125,1.0,-0.0030518889427185057,3.00614857673645,0.28433001041412354,1.9446882009506226,5.210556507110596,-0.6654643416404724,3.44299054145813,3.744843006134033,4.125905990600586,-2.3273799419403076,-0.7800891995429993,-5.502223491668701,-3.088196277618408,-7.7322998046875,-8.899496078491211
0.0,39,-3804.149169921875,,17.57288932800293,0.05548791214823723,0.0,7.610786437988281,1.4130899906158447,1.0,-0.0020432108640670776,2.868176221847534,0.3155994117259979,1.4213756322860718,5.805695533752441,-3.0386781692504883,3.1560347080230713,3.5899322032928467,3.977405071258545,-6.896160125732422,-10.722375869750977,-6.869025230407715,-1.5236624479293823,-10.642912864685059,-3.301276445388794
0.0,40,-3805.310791015625,,30.312589645385742,0.06789857894182205,0.0,15.803546905517578,0.004679466597735882,1.0,-0.003815591335296631,3.938952922821045,0.2799205183982849,2.1750762462615967,5.239063739776611,0.6036105155944824,3.986581325531006,3.7073135375976562,4.406827449798584,-0.04126949980854988,-4.8326921463012695,-1.3513318300247192,-6.124636650085449,-6.27921199798584,-5.929200172424316
0.0,41,-3808.190185546875,,16.005107879638672,0.05773520469665527,0.0,6.323168754577637,0.007019571959972382,1.0,-0.001905059665441513,2.4685487747192383,0.3493451476097107,0.9981531500816345,6.556943416595459,-5.537668704986572,3.518521308898926,3.3798911571502686,4.20413064956665,-9.469386100769043,-7.803806781768799,-4.504193305969238,-4.031698703765869,-5.3206987380981445,-10.279029846191406
0.0,42,-3803.16943359375,,25.31989097595215,0.049692340195178986,0.0,15.001163482666016,0.005713223479688168,1.0,-0.0030933302640914918,3.5229575634002686,0.3188146650791168,2.2614474296569824,5.388876914978027,-0.3071461319923401,3.5602567195892334,3.632606029510498,4.388005256652832,-12.159660339355469,-3.110201597213745,-1.9719924926757812,-4.985185146331787,-3.4976937770843506,-12.649849891662598
0.0,43,-3776.81103515625,,16.919767379760742,0.04758923128247261,0.0,10.477171897888184,0.1813158392906189,1.0,-0.004849528968334198,2.941448211669922,0.3113202750682831,0.37143629789352417,6.903695106506348,-5.488449573516846,3.7089734077453613,3.337172746658325,4.443925857543945,0.08726109564304352,-6.339906215667725,-5.80834436416626,-1.4548686742782593,-10.02309513092041,-5.030970096588135
0.0,44,-3761.255126953125,,23.558059692382812,0.06869488209486008,0.0,13.146357536315918,0.01614745520055294,1.0,-0.0040566521883010865,3.3364405632019043,0.2375885546207428,1.922627568244934,5.234345436096191,0.12670978903770447,3.4198338985443115,3.7691726684570312,4.250638961791992,-1.3657207489013672,-3.2057907581329346,-3.790217161178589,-3.9289474487304688,-7.0751190185546875,-5.260012626647949
0.0,45,-3845.20849609375,,14.203855514526367,0.050815705209970474,0.0,9.952949523925781,0.0029417192563414574,1.0,-0.004545220136642456,3.466867208480835,0.3458649516105652,-0.8941981196403503,-2.4927756786346436,-1.0764902830123901,3.5852153301239014,2.996473789215088,4.872982978820801,-1.9567320346832275,2.7217631340026855,-5.446560859680176,-4.716815948486328,-4.22516393661499,-7.670901298522949
0.0,46,-3752.87890625,,19.692747116088867,0.04529082775115967,0.0,23.997053146362305,13.181958198547363,1.0,-0.0038400691747665404,3.058628559112549,0.26782265305519104,1.0329376459121704,6.049197673797607,-2.9111075401306152,3.9229276180267334,3.4271788597106934,4.420597076416016,-1.0764588117599487,-2.3654685020446777,-3.2546873092651367,-3.689990282058716,-8.374062538146973,-5.6299285888671875
0.0,47,-3791.42724609375,,16.35808563232422,0.046883028000593185,0.0,11.641974449157715,0.001027625403366983,1.0,-0.002016671448945999,2.8337204456329346,0.32511693239212036,0.8528843522071838,5.834299564361572,-3.4255826473236084,3.2404000759124756,3.461514472961426,4.35477352142334,-2.621187925338745,0.548100471496582,-6.324171543121338,-2.1250295639038086,-7.854756832122803,-15.12033748626709
0.0,48,-24867.998046875,,,,0.0,,4.997675205231644e-05,1.0,,,,,,,,,,,,,,,
